,lg_zoom,lg_brush,lg_same,sg_zoom,sg_brush,sg_same,hg_zoom,hg_brush,hg_same
Simple to use and understand ,5.0,0.0,1.0,5.0,0.0,1.0,3.0,3.0,0.0
Simple to use and fast,4.0,0.0,2.0,4.0,1.0,1.0,3.0,3.0,0.0
